                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57109,                0.94989,                      1,                0.81808,              0.0033316,              0.0033316,              0.0033316
                      2,                0.34904,                0.94871,                      1,                0.80304,               0.006401,               0.006401,               0.006401
                      3,                0.38198,                0.93333,                      1,                0.81776,              0.0092064,              0.0092064,              0.0092064
                      4,                0.34875,                0.97531,                      1,                0.77881,               0.008812,               0.008812,               0.008812
                      5,                 0.2589,                0.96644,                      1,                0.78392,               0.008812,               0.008812,               0.008812
                      6,                0.20947,                0.97398,                      1,                0.77366,               0.008416,               0.008416,               0.008416
                      7,                0.19217,                0.97901,                      1,                0.77009,                0.00802,                0.00802,                0.00802
                      8,                0.16635,                 0.9867,                      1,                 0.7606,               0.007624,               0.007624,               0.007624
                      9,                0.15702,                0.97561,                      1,                0.76985,               0.007228,               0.007228,               0.007228
                     10,                0.14305,                 0.9898,                      1,                0.75803,               0.006832,               0.006832,               0.006832
                     11,                 0.1336,                0.98344,                      1,                0.76355,               0.006436,               0.006436,               0.006436
                     12,                0.12809,                0.98714,                      1,                0.75972,               0.006436,               0.006436,               0.006436
                     13,                0.11508,                0.98684,                      1,                0.75993,               0.005644,               0.005644,               0.005644
                     14,                0.11113,                0.99069,                      1,                0.75525,               0.005248,               0.005248,               0.005248
                     15,                0.10433,                0.98995,                      1,                0.75674,               0.004852,               0.004852,               0.004852
                     16,                0.09405,                0.98714,                      1,                0.75998,               0.004852,               0.004852,               0.004852
                     17,                0.08869,                0.99143,                      1,                0.75468,                0.00406,                0.00406,                0.00406
                     18,                0.08228,                0.99394,                      1,                0.75233,               0.003664,               0.003664,               0.003664
                     19,                0.07625,                0.99187,                      1,                0.75385,               0.003268,               0.003268,               0.003268
                     20,                 0.0657,                0.99438,                      1,                  0.752,               0.002872,               0.002872,               0.002872
                     21,                0.06297,                0.99409,                      1,                0.75185,               0.002476,               0.002476,               0.002476
                     22,                0.05929,                0.99483,                      1,                0.75088,                0.00208,                0.00208,                0.00208
                     23,                 0.0512,                0.99453,                      1,                0.75101,               0.001684,               0.001684,               0.001684
                     24,                0.04719,                0.99394,                      1,                0.75101,               0.001288,               0.001288,               0.001288
                     25,                0.04219,                0.99364,                      1,                0.75122,               0.000892,               0.000892,               0.000892
